# file...... x.csv
# date...... Fri Aug  2 14:23:18 2019
# user...... dchassin
# host...... (null)
# target.... test 0
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,x
2020-01-01 00:00:00 EST,-0.191708
2020-01-01 01:00:00 EST,0.387072
2020-01-01 02:00:00 EST,-0.423121
2020-01-01 03:00:00 EST,-0.398225
2020-01-01 04:00:00 EST,-0.550527
2020-01-01 05:00:00 EST,1.907246
2020-01-01 06:00:00 EST,0.033733
2020-01-01 07:00:00 EST,0.762972
2020-01-01 08:00:00 EST,2.146893
2020-01-01 09:00:00 EST,0.373822
2020-01-01 10:00:00 EST,-1.381907
2020-01-01 11:00:00 EST,1.021778
2020-01-01 12:00:00 EST,-0.505672
2020-01-01 13:00:00 EST,1.178886
2020-01-01 14:00:00 EST,-0.644429
2020-01-01 15:00:00 EST,-1.398343
2020-01-01 16:00:00 EST,0.945546
2020-01-01 17:00:00 EST,-0.260355
2020-01-01 18:00:00 EST,1.083978
2020-01-01 19:00:00 EST,2.881078
2020-01-01 20:00:00 EST,-0.044953
2020-01-01 21:00:00 EST,1.686766
2020-01-01 22:00:00 EST,1.244067
2020-01-01 23:00:00 EST,2.064195
2020-01-02 00:00:00 EST,0.829097
2020-01-02 01:00:00 EST,1.000703
2020-01-02 02:00:00 EST,-1.629023
2020-01-02 03:00:00 EST,-0.613707
2020-01-02 04:00:00 EST,-1.699671
2020-01-02 05:00:00 EST,0.568383
2020-01-02 06:00:00 EST,0.602151
2020-01-02 07:00:00 EST,-0.677618
2020-01-02 08:00:00 EST,-0.552680
2020-01-02 09:00:00 EST,1.866088
2020-01-02 10:00:00 EST,0.089192
2020-01-02 11:00:00 EST,0.063222
2020-01-02 12:00:00 EST,-1.309244
2020-01-02 13:00:00 EST,1.586187
2020-01-02 14:00:00 EST,0.199929
2020-01-02 15:00:00 EST,0.735705
2020-01-02 16:00:00 EST,-0.422903
2020-01-02 17:00:00 EST,-0.130931
2020-01-02 18:00:00 EST,0.280221
2020-01-02 19:00:00 EST,0.144978
2020-01-02 20:00:00 EST,1.382452
2020-01-02 21:00:00 EST,0.814701
2020-01-02 22:00:00 EST,-0.284449
2020-01-02 23:00:00 EST,0.802120
2020-01-03 00:00:00 EST,-1.455778
2020-01-03 01:00:00 EST,-0.433202
2020-01-03 02:00:00 EST,0.815012
2020-01-03 03:00:00 EST,-0.750871
2020-01-03 04:00:00 EST,-0.065283
2020-01-03 05:00:00 EST,0.105046
2020-01-03 06:00:00 EST,0.499814
2020-01-03 07:00:00 EST,-0.650730
2020-01-03 08:00:00 EST,-0.194783
2020-01-03 09:00:00 EST,1.474830
2020-01-03 10:00:00 EST,-0.264992
2020-01-03 11:00:00 EST,-0.486042
2020-01-03 12:00:00 EST,2.346536
2020-01-03 13:00:00 EST,-0.252462
2020-01-03 14:00:00 EST,-0.875662
2020-01-03 15:00:00 EST,0.061618
2020-01-03 16:00:00 EST,0.138272
2020-01-03 17:00:00 EST,-0.671812
2020-01-03 18:00:00 EST,0.123262
2020-01-03 19:00:00 EST,1.925681
